Id,Type
0,normal
1,normal
2,normal
3,normal
4,normal
5,normal
6,normal
7,r2l
8,normal
9,normal
10,dos
11,normal
12,normal
13,probe
14,dos
15,probe
16,normal
17,u2r
18,normal
19,dos
20,dos
21,dos
22,probe
23,probe
24,normal
25,normal
26,normal
27,probe
28,dos
29,normal
30,normal
31,probe
32,r2l
33,probe
34,dos
35,normal
36,probe
37,dos
38,normal
39,probe
40,dos
41,normal
42,normal
43,normal
44,dos
45,normal
46,dos
47,dos
48,probe
49,dos
50,normal
51,normal
52,probe
53,dos
54,normal
55,normal
56,probe
57,normal
58,dos
59,dos
60,probe
61,probe
62,dos
63,probe
64,dos
65,normal
66,dos
67,normal
68,normal
69,dos
70,dos
71,normal
72,dos
73,dos
74,u2r
75,normal
76,normal
77,probe
78,dos
79,normal
80,normal
81,probe
82,normal
83,normal
84,dos
85,normal
86,dos
87,normal
88,probe
89,dos
90,normal
91,dos
92,probe
93,probe
94,probe
95,dos
96,normal
97,dos
98,dos
99,normal
100,dos
101,dos
102,normal
103,normal
104,probe
105,normal
106,normal
107,normal
108,dos
109,normal
110,normal
111,dos
112,dos
113,normal
114,dos
115,normal
116,dos
117,dos
118,dos
119,dos
120,dos
121,dos
122,normal
123,normal
124,r2l
125,normal
126,probe
127,normal
128,normal
129,u2r
130,normal
131,dos
132,probe
133,r2l
134,normal
135,dos
136,normal
137,dos
138,dos
139,probe
140,normal
141,probe
142,dos
143,probe
144,probe
145,dos
146,dos
147,dos
148,probe
149,normal
150,probe
151,probe
152,normal
153,probe
154,normal
155,u2r
156,dos
157,r2l
158,normal
159,normal
160,normal
161,normal
162,normal
163,dos
164,normal
165,dos
166,dos
167,normal
168,normal
169,probe
170,dos
171,normal
172,normal
173,dos
174,normal
175,dos
176,normal
177,probe
178,normal
179,normal
180,dos
181,probe
182,normal
183,dos
184,normal
185,dos
186,normal
187,normal
188,r2l
189,normal
190,dos
191,normal
192,dos
193,dos
194,normal
195,normal
196,normal
197,normal
198,probe
199,normal
200,normal
201,probe
202,dos
203,normal
204,normal
205,normal
206,r2l
207,normal
208,normal
209,dos
210,normal
211,normal
212,normal
213,normal
214,dos
215,probe
216,normal
217,dos
218,u2r
219,normal
220,dos
221,dos
222,normal
223,dos
224,dos
225,normal
226,probe
227,probe
228,dos
229,normal
230,probe
231,normal
232,dos
233,dos
234,normal
235,normal
236,dos
237,probe
238,r2l
239,probe
240,probe
241,probe
242,probe
243,normal
244,normal
245,r2l
246,dos
247,normal
248,dos
249,normal
250,dos
251,dos
252,normal
253,probe
254,normal
255,dos
256,dos
257,normal
258,normal
259,dos
260,dos
261,dos
262,dos
263,normal
264,dos
265,normal
266,dos
267,probe
268,probe
269,probe
270,dos
271,normal
272,probe
273,dos
274,dos
275,normal
276,dos
277,dos
278,normal
279,dos
280,normal
281,dos
282,probe
283,dos
284,normal
285,probe
286,dos
287,normal
288,dos
289,normal
290,dos
291,probe
292,normal
293,dos
294,dos
295,probe
296,normal
297,normal
298,r2l
299,dos
300,probe
301,probe
302,probe
303,u2r
304,normal
305,dos
306,dos
307,probe
308,normal
309,normal
310,dos
311,normal
312,normal
313,dos
314,r2l
315,normal
316,normal
317,dos
318,normal
319,dos
320,dos
321,dos
322,normal
323,normal
324,normal
325,probe
326,probe
327,dos
328,normal
329,dos
330,dos
331,normal
332,normal
333,r2l
334,probe
335,normal
336,r2l
337,dos
338,probe
339,normal
340,normal
341,normal
342,probe
343,normal
344,dos
345,normal
346,probe
347,dos
348,normal
349,probe
350,dos
351,dos
352,probe
353,probe
354,normal
355,normal
356,normal
357,dos
358,dos
359,probe
360,probe
361,u2r
362,normal
363,normal
364,normal
365,normal
366,normal
367,dos
368,probe
369,normal
370,normal
371,probe
372,probe
